id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
64,60,5264.125375081144,5322.296180291897,5276.160614397481,5597.984507451871,3632.490249177753,4502.555461996171,4586.596424367607,4462.3085306445955,3800.3329510760154,4452.550541342511,4954.977784491473,4897.882336378481,4253.093016779456,4486.068346605874,3972.795350351461,4889.043065015645
78,60,5405.677767280591,5507.266995741742,5414.890377438736,5738.148612100985,4528.273332946885,4561.3557366508685,4984.304626942592,4550.620569911493,4611.965402313036,4556.715828470808,5578.034302351731,5520.847214215087,5042.337050369706,5439.485524196082,5003.318553961482,5508.718136455876
19,61,3552.6778222163102,3936.677848151174,3545.6494149601604,3584.0234807405673,3487.710248735863,3301.937271730943,3267.5990966117256,3268.7838549989174,3481.7284394155936,3294.6800710030393,3614.695590801223,3521.2620146019485,3420.6682383305797,3467.5166470100157,3403.7975418616675,3516.0306709104275
35,61,8510.702474947157,7566.1416112842135,8560.730300218032,8988.293267565145,4657.483723878944,7400.986608426227,6589.436511605815,7313.183445501282,6197.321939498057,4825.31793014469,8109.022798651789,8764.948463609002,8075.322676435686,8769.776829079783,6582.6878180319,8857.660412328012
107,61,7863.229020618536,7506.607485160905,7879.811346935431,8308.274592304415,5954.716490200451,6016.741454903893,6133.38685931591,6121.7406778138975,6486.360702313701,6008.7667561851595,7988.342974828323,8075.445987435379,7654.347544612288,8063.736685611455,7278.186692136297,8126.237586281509
31,62,7276.4575071837035,7431.707980075425,7265.435552847495,7427.910770102226,7135.92681028052,6995.475012468864,7107.431791915913,6991.34598567078,6810.822768707885,6990.646334241559,7263.327155523937,7231.053307409246,7179.450692908517,7236.380605058197,6596.884881169997,7223.137564376952
89,62,5597.338012542059,5401.870335963344,5569.8840870657095,5822.612739741617,4473.913196556382,4937.99411447132,4816.953599803403,4937.700091520534,4885.895792981791,4939.843399602106,5573.471108774546,5526.2770342724425,5036.084729208073,5417.84886392053,5291.296599308918,5394.569700008868
105,62,6703.297276264603,7098.699531058843,6711.128489619724,6700.649108021685,4477.14468669576,6103.841237764883,6083.3063846092,6107.327731939758,4369.78394062666,6093.7267485580005,6328.308181152146,6178.949236188936,6004.678748977544,6018.895730333704,5538.254594370214,6095.968624936754
101,63,5815.594425678158,4451.225353549845,5832.032751234936,5078.592395344718,2300.734899397018,5406.596269274173,4427.33204705933,5341.063415634759,3350.4133269755444,5398.768463615204,2461.1845880877004,3620.122586046226,2924.273957020232,5531.665145248718,4358.083909666616,3612.2777854898764
27,64,4969.239070857867,5031.728109474541,4977.832368145091,5188.0835336977325,4593.706231697548,4645.569072638081,4530.387217494225,4610.7043579265555,4684.890415467891,4642.352619304307,4772.220679672307,5067.72060324912,4816.969040508928,4967.707206006511,4575.159082907843,5028.205019811878
38,64,6954.748026754899,7246.310911595022,6961.653517007406,7085.794893954521,6020.757719673217,6487.465106662557,6534.954468784807,6538.499110192133,5571.238790316861,6519.217589984657,6805.284675638948,6699.496807037319,6481.723217569713,6603.263680594389,6442.905362721824,6723.373776841401
50,64,4621.539928747498,4980.675032912762,4601.527798871383,4668.665845688179,4384.006651857014,4363.092387227692,4306.758964019825,4342.95633119252,4383.605213854345,4352.580620152647,4445.7866003334775,4589.468292829712,4399.3254284528,4586.091381282481,4432.3763898709985,4582.729487066476
71,64,6444.783117519802,6348.581938746035,6451.123501509567,6743.480186625136,4267.942686970919,5797.484152901476,5746.695225806981,5773.214398396211,4836.4063265117975,5767.680998194419,6346.477220668775,6064.639179084009,5675.777365005445,5966.565512586454,5795.033246795571,6040.585215728766
82,64,7295.981930458869,7527.7344242532345,7222.1534856811095,7493.559975835931,6812.715348984136,6604.992514758648,7160.363353609838,6597.703531307619,7175.353102229334,6597.812989546395,7372.175309942808,7374.574151757312,7175.886305676318,7255.691534917979,7092.900513758505,7358.480862511767
113,64,8332.41239206426,8503.284899735108,8320.550637055108,8651.595603614782,6929.845607296394,6963.296324073468,6932.255752153229,6912.808353270377,7206.185360897123,6956.98565635627,7261.338435764072,8450.057549075862,8109.846900545911,8429.36424862819,7900.372494407609,8454.120977058443
47,65,3452.1422738766632,3711.3646456982224,3453.3319638443845,3663.0476289637663,3482.610524043898,3339.34186414537,3351.5714754555697,3357.024171802274,3439.4088207786,3339.266851473136,3400.6596345240278,3403.52552992923,3180.845063985686,3385.9701275683315,3073.632032370148,3427.737114544314
51,65,3362.586055129709,3246.5143611383382,3388.9087180075094,3744.6526571634727,2151.5659982950356,2755.9655806804894,2484.039184485333,2716.763822798419,3135.764084613933,2748.5632751110147,1828.7043455278153,2556.7788051077555,2149.2483497337907,2387.1632887182727,2896.327891212141,2549.463553595509
52,65,4135.9287723544185,4278.197507585203,4149.243939391014,4398.527485359484,4057.8424499039525,3627.481356422562,3567.5598158243256,3596.861123754788,4120.929887752802,3623.547947358962,4148.449175847901,4332.850841086973,4093.2341925981136,4276.448250455758,4173.554950407326,4326.415640254796
72,65,5306.520747648606,5516.764481780578,5314.277527619224,5438.79588959168,4518.112204985866,5275.601081881793,5263.208791053845,5293.243926695831,4602.7358400596395,5288.278227094551,5160.05269860415,5066.532825530314,4660.281760932709,4893.658276426873,4814.8018486884575,5113.032818140336
74,65,6059.499627248464,6402.570066760334,6067.331254784333,6226.051966324704,4847.740415964693,5279.439179605875,5039.385162545425,5266.313520388685,4901.059134525955,5281.530766139663,5579.209674987386,5822.4093247251485,5468.744686028939,5749.524604538639,5060.990935012279,5814.577705474103
62,66,7331.598322163262,7640.374123348534,7335.903288641932,7462.45155831729,6189.942577042923,6761.925298575714,6930.084578365869,6701.852522924916,6658.593472249186,6710.176170312453,7248.286303319604,7091.429449465812,6883.794415794593,7118.652212080123,7049.437949203641,7084.867232359428
92,66,6888.986209066701,6979.411717791256,6879.067513757006,7064.14069242664,5411.4799356768335,6267.374988432957,6274.506262792898,6270.04728232146,6163.327033700571,6270.04770155957,6372.041386294126,6072.591425399247,5926.6018687207525,5966.497799862768,5649.907581767907,5979.311253158313
100,66,7467.211648724027,6959.410025350502,7483.7729127562225,7818.481262408443,5436.72754346565,6181.35653968168,6186.903247570837,6174.2590213317935,5869.377081952154,6180.994450357158,7747.607134600837,6867.346452252486,6376.872455810272,6783.5725149021655,6371.163241609093,6859.252782333452
12,67,5828.317058859028,5389.14108208135,5795.263994986412,6177.7763933298165,3921.6651669275543,4052.1270860436125,3827.5843357454646,4039.537707474959,4428.542943697893,4041.172146976831,5740.175097475704,5359.122781585262,4768.938170253655,5182.0699697199125,4581.856087688267,5305.501193772219
56,67,4241.558552114016,4242.520733925168,4268.61745113539,4401.912232372305,3947.5557741815505,4113.381784940587,3972.2002654323637,3914.16842479429,3917.7065775363917,4078.529432872952,4103.880977519655,4141.828248181048,4138.6303938674155,4209.319269100494,3767.5403359718057,4132.578187837042
103,67,6107.44219438922,6721.903988529488,6051.864576773028,6132.790370181789,5855.670299779135,5873.154051407511,5926.078985779176,5861.982145517538,5993.885420013314,5865.111456790866,6101.257009082915,6058.136659700874,6040.271476326942,6070.370757041337,6038.0046668775585,6036.489312006918
109,67,6546.825727949553,6611.548550782726,6554.218635948749,6800.009121088471,4826.2402816525655,5212.214247576129,5077.217951268561,5069.517680367391,4932.384530554204,5072.312398540999,5524.495882949397,6229.833280638585,6142.620885253585,6054.013827241535,5955.833902478405,6224.521852019997
114,67,6343.125602083716,6092.936813237525,6346.072452387625,6580.680704265182,4308.5722855674385,5667.98250105391,5624.25780543465,5730.642291687896,5699.4257822503105,5621.627057633691,5905.369877830596,5890.535832672256,5842.817757317354,5945.9110593491005,5533.446236949035,5882.586900398988
29,68,5391.847005389448,5899.415038598597,5374.265582781532,5432.674291904275,5110.175820387174,5183.759296144673,4800.552238734978,5175.442131351944,5250.0510774988825,5175.7371644586,5185.47861892928,5243.763495411343,4968.580589459094,5207.4960586951775,5156.331913272144,5242.389129101968
58,68,5192.952311260824,4840.613793170596,5205.586018635662,5675.431063262869,4241.002571377032,4298.216789534418,4816.845693827076,4271.69022214605,4966.918056904575,4284.541691945277,5457.617578457746,5342.801864961088,4956.75750641097,5262.853606258083,5000.890185882169,5370.321467340405
60,68,6877.50873019832,6530.328627499673,6991.261819971125,7238.191316389454,5286.928505707721,5965.873321144551,5729.363168607035,5327.287868899967,6367.260538729145,6061.386307251037,6930.167951807673,6657.825310042626,6449.504242455929,6538.351668258843,6489.991811782147,6611.612213352363
102,68,6581.867300885911,6488.6744671922215,6589.537775776584,6879.86723768146,5382.326622274147,5985.382543280492,5799.051552724533,5684.502918789223,5807.268149405934,5735.564567067566,6614.985558265104,6578.519770067306,6308.202712200068,6475.628361946612,6081.718792132776,6536.095308516182
34,69,4332.177609886511,4400.326908004435,4328.72792936881,4706.948675872897,3600.8646764457517,3742.3395626919237,3656.6479952333907,3617.3172021004134,4228.388047517019,3704.086771240783,3920.862980934904,4115.405452522167,3684.039287475413,3998.034126381933,3359.035181907027,4108.110209670367
37,69,6120.70364548799,6214.069917103396,6108.48022060266,6517.129903864436,5833.028020045121,5599.809154633368,5797.088823593625,5815.070106304597,5719.207173616517,5616.78889299121,6066.931375561503,6086.9055172743965,5875.932124705919,6078.897460467149,5789.057452627605,6078.897354909735
76,70,4153.081880575412,4564.613638472434,4160.517327170663,4142.9863139583595,3835.4242574757004,3693.0661424999885,3748.5414726995477,3685.678398453776,3941.215703803152,3685.667008989482,3833.4597366186263,3909.2274613046384,3601.8655111478042,3895.128080735146,3797.54117238514,3901.8472132288657
79,70,5640.330350900232,5662.816041853542,5641.508214356898,5931.996687851785,4828.421620605645,4593.032671893561,4570.146507850218,4584.36838678601,4549.342197192068,4585.487223474448,5436.33236265623,5211.3877171082495,4894.003511861564,5135.228282204459,4900.137899465814,5199.9725562869
22,71,3202.4826809349556,3237.47851072434,3209.91159161682,3498.317581578427,2129.9540956639144,3176.336497863616,1932.31170004621,1939.1691117334321,2806.194654705124,3243.97635321419,1559.67052884347,1961.6640251060762,1878.88015801578,1992.871521197376,3106.0225128310876,1953.779977023946
53,71,8656.269775898183,7972.533507927572,8688.691892513914,9044.417445704084,6117.335662576266,6142.36020765011,6122.218713485445,6090.873090134877,7353.570969644483,6116.028981539424,6730.910068083854,8779.863931086316,7953.243811135225,8683.497916745733,7506.763877743189,8751.448116364683
