id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
22,71,3126.7293479009536,3188.72569285284,3128.7654534789585,3444.1598099292687,2005.7538304244258,3052.136232624128,1813.4845732837389,1820.341984970961,2687.367527942653,3125.149226451719,1435.4702636039817,1837.463759866588,1760.0530312533087,1874.044394434905,2987.1953860686167,1834.9528502614749
53,71,8572.013628849816,7918.339246916246,8598.427333671618,8984.208168203057,5979.051613341486,6004.07615841533,5989.932440724117,5958.58681737355,7221.284696883155,5983.742708778097,6592.626018849073,8641.579881851536,7820.9575383738975,8551.211643984405,7374.477604981862,8619.161843603355
88,71,4837.412044171429,5006.984002388979,4836.878266237767,4977.7156701549875,4211.999751368383,4593.379566286208,4634.818543568249,4622.576173446005,4467.415611464227,4604.568900655395,4487.016823423365,4556.7124140622145,4505.925501644603,4498.16987825916,4479.956380293336,4541.739229197663
20,72,6511.129880192398,6982.877276830384,6483.904232467791,6631.604028672121,6197.212746325675,6032.720714329689,6183.900867385099,6023.192534964682,6464.42722176908,6031.686765505514,6404.595697592133,6333.137701459253,6238.216603417387,6320.287511039016,6390.450953430415,6329.668689246316
32,72,3130.1387716681766,3348.5336285798394,3055.59669249573,3271.8676924531815,2907.4789372913497,2879.28315473234,2803.706899586291,2890.124515496873,2913.2760421745206,2886.564519890631,3011.699478295568,2973.3344362916077,2989.553759876893,2966.2545851688446,2996.531668986133,2971.2731313763147
40,72,4628.140772277867,4885.815893518289,4597.338828402973,4814.493797408552,4363.008296233784,4382.515734176584,4510.955730483551,4411.263067999348,4496.318213568721,4425.499330192139,4441.816995641679,4539.500611170044,4568.933832488003,4516.940093669585,4378.645126582915,4539.287911438689
11,73,5636.560365729708,5866.6792177192565,5594.901858059315,5888.090858973668,5394.381922647265,5279.177450232599,5191.156041485404,5255.302814583456,5448.377423892879,5277.134034407375,5483.744229410242,5724.454897226726,5583.208518875099,5635.228326371691,5492.637654121989,5722.411522634481
25,73,6756.557793363033,6909.478921552792,6752.18958062756,6930.2149307970185,5114.011739943299,5474.685269635492,5335.548542323485,5368.4104099996275,4140.536823406385,5292.524304345918,5462.174804041634,6488.706173233977,6179.415359862227,6201.363860174219,5478.866421814278,6346.052900304477
111,73,4602.495577791491,5335.700187734717,4479.152186287021,4646.411980483971,2887.2574814214713,4008.033764395515,4210.09663907644,4060.9403049741722,2461.466083939766,4002.546366029046,3788.924775093179,3936.6225116903506,3562.728199149496,3939.187288106524,3787.728618121684,3932.2232098071117
4,74,4578.908534722732,4733.728201379506,4580.941160201198,4673.748634221834,3338.339485070333,4360.534301833814,4312.576664784205,4318.072706446849,3412.8307632450083,4371.715101719845,3807.7886172239855,4390.610675203085,4119.3792160192115,4101.411542563903,4053.2683407593363,4386.306641758709
