id,a1,b1,gamma1,sigma1,ll,model
73,-1.22925637643462,2.46027486446797,4.84803442497424,0.933884972249932,-3541.10673960002,"os"
74,-0.71243992059831,1.94679929480123,4.88511276101024,0.625353294230419,-2391.79054141578,"os"
75,0.216047715880239,2.2158346464518,4.98501093190845,0.846450584993929,-2981.57170976127,"os"
76,0.848652737158922,-2.12073276962041,5.6330064020624,0.640549015243766,-1558.58776547408,"os"
77,-0.630026174506986,3.17272770183451,4.94323038148491,0.672279874601821,-3053.31167335193,"os"
78,-0.594200487581861,2.95992032433401,5.54077231445565,0.679314809659119,-2201.82748868022,"os"
79,-0.26211748074394,2.84337959216003,4.71519968487298,0.689374509027144,-2267.73251415841,"os"
80,-1.36949603245954,3.20403451588715,4.98940512050797,0.663033832585697,-3269.98210558942,"os"
81,-2.9681334606204,9.78594046575131,4.9545709155781,0.787889228152037,-3097.7389417875,"os"
82,-1.01770716936611,4.35049202822014,5.40265253707681,0.824412392460996,-3111.21771148079,"os"
83,-1.12728800365822,5.18250635369137,5.31660835175243,0.800839751187783,-3042.37775913668,"os"
86,-0.511470322766982,2.30785101805435,5.14316545785932,0.805802388861136,-4030.12284189568,"os"
87,-0.735435590997618,2.28521817951532,5.06014912350242,0.787825831189068,-2553.33557273737,"os"
88,0.08380339128206,0.655541308323118,4.78527320473631,0.621154317509156,-1795.0203535426,"os"
89,-1.01400773345811,2.96107936491383,5.66507886153545,0.72208247026753,-2213.97825137802,"os"
90,-0.328070293818126,2.62047434209765,4.68283258776562,0.58663182865768,-2292.76836256345,"os"
91,0.532693578548473,-0.743153167832498,5.21321903764444,0.94908523265315,-1829.98702137284,"os"
92,-0.54056907918441,1.810727391885,4.53200765341557,0.606121991152971,-2752.03868683763,"os"
93,-1.32393392746468,11.4709054548338,4.82791220576593,1.00081019728288,-4693.68820346273,"os"
94,-0.0110728617687477,3.18511981256052,5.24207480410909,0.73511565664523,-3086.94437615526,"os"
95,-0.138604606187904,3.60767809496017,5.09407538332673,0.846683232665608,-1836.17949485274,"os"
96,1.46675707066011,-0.403046440602752,4.24698993965492,0.653456920976526,-2346.55216063595,"os"
99,-1.29468537027158,5.91671422678588,5.34971388397917,0.61671048259825,-2719.73958711199,"os"
100,-1.42256235111308,5.78009501466083,4.8500727571493,0.652923843601141,-3255.8715125059,"os"
101,0.760623008543233,11.761325468806,4.90659645194954,0.716733242320502,-2725.57627664599,"os"
102,-0.0754286211325556,3.38233043219672,5.11371284366264,0.849202402427185,-2691.75081869795,"os"
103,-0.463843311453213,2.19119266016715,5.89482845598645,0.545318490572894,-2527.04068931475,"os"
104,-1.19452762321731,5.51400506068944,5.1652802986143,0.819406082031225,-3236.03136930519,"os"
105,0.0577045404837892,-1.14244479913632,4.80506724211254,0.70270922921289,-2684.50633302466,"os"
106,-1.25467837730304,4.16584674576112,5.19909137135031,0.797768288755728,-3077.94378482472,"os"
107,-0.673263793055593,5.00370054827888,5.04452220051817,0.770498109206042,-3373.89609796444,"os"
108,-1.49805282911571,5.93754198180145,4.91433635401455,0.732531432760538,-2485.65530755398,"os"
109,-0.549815325621671,2.41713846779917,4.38353079187657,0.538324335649147,-2628.43137374895,"os"
110,-0.86386180333086,2.63302731549495,6.66585405996664,0.613527002934398,-1849.65019911366,"os"
111,0.162713740548287,-0.485942986589109,7.0127082335876,0.74823526411045,-1879.61969816187,"os"
112,-2.0336736498226,6.85557662448018,5.00835453926651,0.867947285690771,-2908.44451417136,"os"
113,-0.518484277316185,3.39662693704201,4.95669407371291,0.685472551461628,-3635.1493761395,"os"
114,-0.768297593134167,3.59487190899674,4.74521210892033,0.589489392886914,-2524.39731766367,"os"
