id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,ptr0,ptr1,ptr4,alpha,ll,model
8,-2.26976553097437,2.84469442691061,3.07236383701246,-0.0234138371971012,-0.017842719532873,55.6799796817463,-149.551308926005,-30.3978029184781,77.9379078259624,-0.138146309606163,0.142497814667715,0.999999559372307,0.994304045713189,0.993854606948447,0.992457946218317,-491.952166601314,ts_decay_stop
9,-4.79964036840962,-50.5896223749219,-311.214584836083,1.64778437866167,259.945589678048,-3.79954643476103,0.863789361175275,1.02400921357809,-0.0967462150308368,-0.115120862703416,0.450318299684542,0.999999772621159,0.879015111773756,0.996621386709843,0.965083454546509,-556.197730375319,ts_decay_stop
10,-3.03074884539906,-8.53714097737182,-29.1077600813037,0.140351146880091,35.5787366576242,-2.71831463043158,1.47086588882149,0.930529462683279,0.292518089453571,-0.11800173027587,-0.565394651320653,0.999999982239122,0.999999990944399,0.999999985962573,0.963376205899299,-507.468163503547,ts_decay_stop
11,-2.78922403630272,-8.06968339424057,-27.8642006734781,0.44847904576222,25.1194678793673,-3.41826527792032,-1.73962582549478,1.21669165373076,1.07528422123244,-0.0607862348498618,-0.152063237193226,0.999999997183163,0.999999996805497,0.999999993241994,0.904925290655926,-479.156696880672,ts_decay_stop
12,-2.18973954547354,-13.9569995502594,-51.7773225955751,-0.0452924477921237,63.9180716420761,-3.78265388155303,-0.992412981649677,1.64930376019386,1.39918017673866,-0.233502312239917,0.167212099599104,0.999999969075771,0.999999954197178,0.980725562346832,0.976413560851721,-323.453524769224,ts_decay_stop
13,-4.50150986403417,-32.246885461066,-147.06776896685,0.197023699974837,187.772877236533,-6.04603709619724,2.61820817096317,1.39435098736902,-0.195385940092223,-0.0932995493052053,0.430403522952495,0.999999915946955,0.980399517545388,0.999999953849293,0.970553264041139,-500.931036669509,ts_decay_stop
14,-2.21818546336306,-141.482303005175,-353.30827930868,0.0769897367344836,402.021259262087,-5.20493178458048,-0.922131554318182,0.648649112326692,1.4664738203305001,-0.00206480111432459,0.112237399919075,0.999999998600908,0.999999998932006,0.982291740597597,0.8656723360177,-472.465661215145,ts_decay_stop
15,-2.58811558542781,-27.7462818830995,-60.0271976341171,0.135153311217995,153.741341348906,-2.64658071243184,-0.201111896686669,0.487660920005546,0.944661392379717,-0.166652189905153,0.159877295904736,0.999999962365123,0.999999991224035,0.997327738107021,0.999999924030909,-541.98519624669,ts_decay_stop
16,-1.76124784850019,-8.11003338039862,-33.0487982255545,0.0876015242503029,28.3650445806977,-2.18625471735055,-0.344397976243875,0.323851580222064,0.711410139364429,-0.0999919850981742,0.0141234710400827,0.999999987068284,0.980339238346865,0.87948357618388,0.940112336348374,-569.364677581072,ts_decay_stop
17,-3.71882560000002,3.27450025084208,13.3743308092393,0.0867271351773262,-1.6155140643779,-3.08065522589388,-1.50373357573846,0.474982394563152,1.91904141652425,-0.105174480901778,0.40995964893179,0.988506227809069,0.999999996833637,0.999999991410958,0.96132325395242,-525.060848836533,ts_decay_stop
18,-2.93524507877616,-50.9230997460465,-87.3434172845406,0.136451217913613,177.442353339546,-5.08355526862369,1.59609946747942,0.449865188008281,0.184008597007442,-0.0733820014030999,0.532633716011252,0.999999211351892,0.995886635494891,0.804470310814032,0.986371431202432,-528.768166429144,ts_decay_stop
19,-6.92653825135109,0.440296325581786,-0.0981386368384996,1.93998447397084,1.68499305832854,-4.30318145508859,0.0439260659006538,1.71645686095165,0.331599649034001,-0.123250787700075,0.498243566987767,0.999999997435754,0.999999998044089,0.994709923959853,0.918434059166602,-439.13258167213,ts_decay_stop
20,-1.55833030391394,-258.29836834518,-1043.06857206485,0.0856117236102089,653.78216801757,-6.837776122371,0.312660336190342,2.16599047070581,-0.0508762919474243,-0.0619521965154519,1.00686220897108,0.9717150875842,0.999999933650034,0.964056949092511,0.940227240295253,-493.730773386975,ts_decay_stop
21,-3.05042906569723,19.4269957088493,0.914662537492165,0.109798152834213,1.75767190647272,-2.2693473530047,-4.38258159901819,0.763424677115404,2.66137905079286,-0.164395857690762,-0.400526758544687,0.974619363440569,0.999999997861813,0.973431160224503,0.960936979170826,-475.024445543064,ts_decay_stop
22,-10.7792769497312,3.60508331811904,-0.448306871277634,1.27541253443559,8.04685226890089,6050.52078330543,2572.39092287832,3028.87096232099,-2033.20980371757,-2458.51246480995,-371.128433614141,0.730965252884812,0.348299602859547,0.717561118892435,0.827449061339095,-412.283244971912,ts_decay_stop
23,-6.60063007594851,1.32270896641584,3.32575979842902,0.854355962259702,1.33303712553264,-1.91958109554348,0.428379023220445,0.790280697038778,0.437671573215598,-0.498074517641341,1.29109919302747,0.834678668132308,0.617634262771123,0.869956795098888,0.976912921768485,-547.762266158962,ts_decay_stop
24,-4.47471629922156,-29.8053398533145,-85.3407444449255,0.140830496891546,173.076585412093,-4.73376334577497,1.38734376216963,0.758787575601649,0.539734251621204,-0.0680003639534271,0.0224353833803371,0.99999998483816,0.999999995455203,0.965878552866189,0.92359610666299,-471.114992281046,ts_decay_stop
25,-2.16073784099111,0.293369621772378,-4.07975619774172,0.11334427993087,6.05538805431177,-3.10209655035717,-0.0793191831958268,0.649819545176473,0.167512158061474,-0.131440206955951,0.220036354143329,0.999999986359087,0.992730451498567,0.959585707084386,0.975707943255032,-606.172754209514,ts_decay_stop
