id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,ptr46,ptr28,alpha,ll,model
2,-5.92860698113068,0.883826849603675,0.31342528587583,0.885578164043188,-0.0815595942331821,0.0519237373828189,-21.7554591238657,11.8375124763424,13.3280582274973,1.20784209648049,-0.0617883849173797,0.395588567916712,0.472758777117636,0.956971695779416,-552.272765291825,ts2_ratio_decay
3,-32.8241308157814,-1439.40240912107,31.9206356045457,1301.86679330868,-0.829448997915887,0.0852822831101121,-12.6650655648903,0.92371611264204,-9.44611581148312,1.67725803553783,10.4627888636167,0.104236918382096,0.247289615382189,0.096730229489571,-613.890883160965,ts2_ratio_decay
4,-6.49199438747946,1.34273623732889,0.555885517683806,0.564616950459113,-0.0956641170046615,0.0240407049945471,-3.88479999782771,-0.431117786077867,20.0761737797446,0.36290519854341,4.41722024442974,0.240391782867382,0.0691767801077065,0.999999995180349,-644.346853678686,ts2_ratio_decay
5,-39.1053478045265,1.49209845407022,0.76552653538503,-0.175262979144488,-0.0914273640729872,32.6040963819612,-10.7387091215526,-5.71045850668096,-14.9898672028402,0.490059269052699,30.1098426802383,0.281802132375492,0.376984081517047,0.988389824015435,-571.674733824431,ts2_ratio_decay
7,-674.130752203903,444.970715401835,600.42223034668,-396.075558219852,-0.0965155641692652,-0.0680228014635461,-2.72144090735947,-4.28744324349643,-20.6320993936907,0.112297294729,19.247612092498,0.29269464531617,0.267598124556149,0.109153123227438,-579.505154648647,ts2_ratio_decay
8,-4.10232814016292,0.856109443595794,0.848799128462433,-0.0474937549085925,-0.15533016359564,-0.682244549967967,-20.2590804658663,-1807.38041081805,-7414.83165616665,0.296426161569167,9324.87632171032,0.0177137679294426,0.302031730113211,0.931963389616919,-564.993808277904,ts2_ratio_decay
9,-5.73366491563887,1.32562766839308,2.4597536904815,-0.155844497285609,-0.695904070519501,0.482620827158314,-13.5082493724877,4.70170980207268,8.30967883466509,3.4737421101049,-6.01757142014978,0.140681161671747,0.28827329032313,0.910399145046152,-568.019452235226,ts2_ratio_decay
10,286.508136528986,-756.508600649976,-171.258857702487,454.957132593414,-0.203264653860847,-1.75005388664559,-4.87929751104462,-30.8422209287482,-91.1486222813221,0.312165945368469,114.739353709832,0.153247673017742,0.641325823867245,0.401831431497843,-553.756326014735,ts2_ratio_decay
11,-5.92565293707325,0.324557356409066,2.09975810647338,0.0500181999123761,-0.122019261189176,-0.484874083421809,-507.571101992422,124.31380319102,500.557434278915,46.1227925913815,-113.141130367694,0.168917581240569,0.492764047218422,0.929506815992393,-513.421875762816,ts2_ratio_decay
12,-2294.98621374319,353.335509950108,2177.5800716681,-334.029595393021,-0.690658498063064,1.26322993120714,-3.07817745444923,-171.085655022606,-689.828070434456,0.054684870424763,577.310706198128,0.154657810679563,0.481408584606142,0.051883586419424,-431.418360021294,ts2_ratio_decay
13,-192.820420452135,20.7094549948883,24.8906812563052,-11.9814311297407,-0.464130288624528,153.09796999672,-5.40165075739615,-4.47191135132816,-43.438009687344604,0.337230801018433,38.4151315539484,0.0870318401003258,0.380085611557997,0.416013089435758,-583.937634583082,ts2_ratio_decay
14,-5.75219029415152,0.435023450170409,1.01473461502201,0.0852713491158104,-0.0701136490590338,-0.0750862587251363,-45.3083315856859,-68.4138623028404,-218.651430534238,2.39543622927788,300.004408144927,0.0267235632500197,0.318275123995441,0.906723262295088,-561.309937542052,ts2_ratio_decay
15,-4.97728335820323,2.03310145009846,1.14825462195833,0.0515406110004891,-0.193208101482833,-0.357313646991849,-11.0273675674554,4.27425516523901,0.625554686572669,0.577895289179781,3.43406732109153,0.366753572167863,0.15437982753702,0.877523162402318,-606.445683500023,ts2_ratio_decay
16,-7.9192351156923,2.4858257285804,1.95024378498639,-0.488038924248374,-0.103642330727416,-0.362012262490862,-4.14889083459976,-7.15820518142692,-42.6995399118639,0.178024826983746,29.0168484249259,0.186043295777239,0.36669809156025,0.87480953666527,-606.942192889343,ts2_ratio_decay
17,-6.44213526887652,2.20774307785999,1.58352984387107,-0.57935501194983,-0.0963952578462037,-0.353610148994589,-38.0713070900413,35.5779611632284,-2.75602737429298,-8.83399327621325,89.1152009837819,0.184189317269788,0.503777505595411,0.830814345376226,-575.732861829719,ts2_ratio_decay
18,-3.59046328544756,-1.99194517988697,0.980020645662003,2.10974554976567,-1.49746830825407,3.07366332190561,-4.38404462133864,-4.46252965812327,-7.7684722190502304,0.296759018890112,18.0577407548722,0.0599585165110306,0.28608231665497,0.819289633197032,-569.241039438258,ts2_ratio_decay
19,-5.22395558661074,-0.856146306594716,1.69953585593065,0.373701978230328,-0.0887977764123077,0.593890100225738,-59.0125180829779,48.7507630466056,-16.180093669405,-3.61929143483458,57.0897003614151,0.0566961103957047,0.490268979022954,0.958605714289269,-484.718769118555,ts2_ratio_decay
20,-1535.54437986891,-516.204871696801,1340.5887142572,450.959332061167,-0.107253240984346,0.460641496423887,-7.2751163550528,-526.718743578013,-2110.37461143523,0.982033171287915,1320.50486888745,0.119370916756129,0.222105512270765,0.127163910582262,-590.954556831433,ts2_ratio_decay
21,-1449.81658762899,-811.246139660751,1372.87121279071,768.728196998311,-0.549562285423927,-0.804613043390479,-4.33134196463797,1.209536005758,-3.67530866439687,0.268373443855862,4.85671302953294,0.112452373105741,0.396065791893078,0.054466988557368,-546.910888983582,ts2_ratio_decay
22,-2013.00364488785,-5871.66680368833,1881.03586451931,4696.78189158422,-87.314600746811,-84.6267670919788,-5.37622313960996,-0.341011262720632,-7.42049424585145,0.353653564206057,10.5560771522536,0.917860288778605,0.999997258579721,0.208824610021758,-437.024417176549,ts2_ratio_decay
23,-6.0031702663185,2.84427859499675,1.62770426910062,-0.441637946046832,-0.538980289600105,0.557984289326283,-7.10242039621537,-5.76210251580302,-14.9638184858682,0.73194619763517,15.7083204527633,0.394896106437387,0.505223039299281,0.999999872137059,-548.179996036397,ts2_ratio_decay
24,-6.91312490086937,0.613307846179271,2.63458048340693,0.839912444950145,-0.35782366146305,-0.041795666595587,-9.53309261810588,1.7823297042761,-5.53043642722183,0.486607931058759,20.9795796983603,0.0578236534357749,0.288880414421106,0.661952930367994,-510.687721970871,ts2_ratio_decay
25,-5.07943732909535,1.17252520591979,1.14336485565493,-0.109403844196269,-0.174786301906362,0.117944506760658,-29.2339129677798,16.8789940117651,15.0756710959557,1.59161309273072,0.721897241580177,0.131649230796686,0.112320816721159,0.920035086866209,-618.354975914969,ts2_ratio_decay
26,-4.61444947908469,-0.846650620266903,1.21806636985653,2.47134659923928,-0.217417852638991,0.953178651069371,-73.9218644105616,-324.428632293361,5.11090429362966,36.5812991542884,-33.9853375488864,0.263828314631587,0.124611961338594,0.828009848177389,-392.898229630742,ts2_ratio_decay
27,-49.0702391165955,4.58790853111853,32.685799128567,-2.82116983654975,-0.169981527290153,-0.287520075755114,-4.77397343023771,3.28555240565291,-1.20800879109841,0.432551090874845,1.82576597569373,0.326649184822269,0.336234081392371,0.366010555786016,-559.449860236191,ts2_ratio_decay
28,-2.98676317274339,0.198182736638338,3.30982987102048,-0.196023258767423,-2.12032864076126,2.01057118386022,-12.0745027712775,4.33674371504155,8.87008080034975,3.67383944322469,-4.10256620018944,0.297873493974218,0.426668742638467,0.944256475536796,-444.093051026877,ts2_ratio_decay
29,-12.3115656728508,-3.34122222690293,6.7810023223183,2.00645205314451,-0.136028240654018,0.10004933537429,-129.003752815175,-10.0425297002527,-2.96954653686433,32.0775572002652,28.9173292199482,0.0973851483001966,0.144049811129788,0.565278967191847,-481.751577945235,ts2_ratio_decay
30,-173.489038510055,66.1195223468711,129.93323537463,-47.892497155979,-0.1463600851105,-0.800116882695879,-3.30063794134257,-203.257877445127,-721.172450588525,0.199943260873879,454.107860579326,0.0852322356839002,0.115722656706757,0.254592371456869,-513.325173629894,ts2_ratio_decay
31,-1347.42284976815,891.257288000766,1154.02592137683,-762.32940359787,-0.444592447823846,1.57830385325281,-4.46735492625637,-863.8867351188,-2597.72349017826,0.146653826243763,2168.02911268559,0.172908609393262,0.306588259173772,0.14266784793534,-496.476181357137,ts2_ratio_decay
32,-13.0537401660891,0.0418443729531234,7.55180557766736,0.222836419404827,-0.0939545539260883,0.165253284009756,-20.901959132927,-38.364221774914,-38.3274655964651,6.50499662005218,80.3035009015692,0.106440555726955,0.216150023894664,0.524760098233003,-490.500992170012,ts2_ratio_decay
33,-9.27103467078519,0.40900088687323,4.2211890009518,0.125847425501679,-0.218258223601824,-0.0541667130599204,-3.78828195623091,-93.5362694856416,-213.639462316522,0.117264456138425,239.843132744859,0.059533006256601,0.261969767848679,0.647434572428967,-513.41181038736,ts2_ratio_decay
